1,64,0.000729,0.0005503,0.000238
1,128,0.010618,0.0051143,0.001852
1,256,0.0011,0.0008327,0.000569
1,512,0.018054,0.0075850,0.001287
1,1024,0.037633,0.0293167,0.01935
1,2048,0.353821,0.1965403,0.084898
1,4096,0.874773,0.4488250,0.062172
2,64,0.008555,0.0043587,0.000866
2,128,0.009682,0.0079233,0.00674
2,256,0.002629,0.0015153,0.000687
2,512,0.045155,0.0170463,0.002071
2,1024,0.157712,0.1065440,0.066007
2,2048,0.160023,0.1145163,0.05517
2,4096,0.619808,0.3656597,0.148673
4,64,0.001875,0.0012563,0.000817
4,128,0.007752,0.0049373,0.000497
4,256,0.003388,0.0027573,0.002045
4,512,0.021928,0.0147247,0.005026
4,1024,0.052278,0.0395637,0.018542
4,2048,0.18404,0.0953050,0.041019
4,4096,0.514967,0.3036260,0.143678
8,64,0.006828,0.0031397,0.001257
8,128,0.008646,0.0058810,0.003045
8,256,0.005172,0.0035020,0.000797
8,512,0.017554,0.0125727,0.004063
8,1024,0.113321,0.0426523,0.005653
8,2048,0.219061,0.1047170,0.002123
8,4096,0.592755,0.3135060,0.158376
16,64,0.002598,0.0011050,0.000214
16,128,0.010593,0.0049320,0.000124
16,256,0.001926,0.0013427,0.000525
16,512,0.018212,0.0117683,0.002887
16,1024,0.020929,0.0107927,0.000649
16,2048,0.639157,0.2724607,0.058393
16,4096,1.002544,0.6682560,0.388201
32,64,0.004108,0.0015890,0.000049
32,128,0.003144,0.0012453,0.000382
32,256,0.002929,0.0065377,0.003575
32,512,0.017047,0.0286577,0.005933
32,1024,0.039698,0.0600217,0.049871
32,2048,0.180071,0.1298407,0.038858
32,4096,0.714983,0.1160290,0.098282
64,64,0.002248,0.0011503,0.000282
64,128,0.003144,0.0017000,0.000004
64,256,0.002929,0.0023810,0.00209
64,512,0.017047,0.0126423,0.006419
64,1024,0.039698,0.0355597,0.028372
64,2048,0.180071,0.0853343,0.037642
64,4096,0.714983,0.3873687,0.169059
128,64,0.000984,0.0005193,0.000165
128,128,0.004375,0.0026057,0.000525
128,256,0.000701,0.0004720,0.000337
128,512,0.013292,0.0089370,0.000347
128,1024,0.126284,0.0549863,0.01926
128,2048,0.559279,0.2105777,0.003475
128,4096,0.398079,0.2484560,0.103882
256,64,0.000182,0.0001447,0.00007
256,128,0.000143,0.0001360,0.000129
256,256,0.007639,0.0044837,0.00195
256,512,0.016869,0.0106213,0.005717
256,1024,0.02033,0.0106323,0.005728
256,2048,0.129355,0.1037983,0.075445
256,4096,0.323873,0.2047963,0.136745
512,64,0.000784,0.0004973,0.000202
512,128,0.031765,0.0115830,0.001492
512,256,0.00388,0.0020143,0.000899
512,512,0.018516,0.0136153,0.004704
512,1024,0.020544,0.0127293,0.003705
512,2048,0.213279,0.1726337,0.109631
512,4096,0.327789,0.1789293,0.067017
1024,64,0.000172,0.0000957,0.000006
1024,128,0.003892,0.0018033,0.000654
1024,256,0.00137,0.0009783,0.000765
1024,512,0.005941,0.0032330,0.001876
1024,1024,0.013079,0.0100447,0.00433
1024,2048,0.09501,0.0401993,0.012688
1024,4096,0.461006,0.3235860,0.169719
